Timestamp,Interface,Protocol,Direction,Message Name,Additional Info
6/5/2023 8:57:31.000 PM,N/A,N/A,N/A,Technology Decision,
6/5/2023 8:57:31.728 PM,N/A,N/A,N/A,Device Info,
"6/5/2023 8:57:32.000 PM,N/A,GPS,N/A,GPS,""Long: -84.140381, Lat: 33.896179; Heading: N/A; Speed: 0; Satellites: N/A; BarometricAltitude: N/A;"""
6/5/2023 8:57:32.000 PM,N/A,NR5G L1,N/A,QC5GNR Searcher Measurement Result,
6/5/2023 8:57:32.000 PM,N/A,NR5G L1,N/A,QC5GNR AFCSNR P,
6/5/2023 8:57:32.000 PM,N/A,NR5G L1,N/A,QC5GNR SSB and TRS SNR information for pcell,
6/5/2023 8:57:32.000 PM,N/A,NR5G L1,N/A,QC5GNR Uplink stats,
"6/5/2023 8:57:33.000 PM,N/A,GPS,N/A,GPS,""Long: -84.140381, Lat: 33.896179; Heading: N/A; Speed: 0; Satellites: N/A; BarometricAltitude: N/A;"""
6/5/2023 8:57:33.000 PM,N/A,NR5G L1,N/A,QC5GNR AFCSNR P,
6/5/2023 8:57:33.000 PM,N/A,NR5G L1,N/A,QC5GNR Uplink stats,
"6/5/2023 8:57:34.000 PM,N/A,GPS,N/A,GPS,""Long: -84.140381, Lat: 33.896179; Heading: N/A; Speed: 0; Satellites: N/A; BarometricAltitude: N/A;"""
6/5/2023 8:57:34.000 PM,N/A,NR5G L1,N/A,QC5GNR AFCSNR P,
6/5/2023 8:57:34.000 PM,N/A,NR5G L1,N/A,QC5GNR Uplink stats,
6/5/2023 8:57:34.000 PM,N/A,N/A,N/A,Technology Decision,
"6/5/2023 8:57:35.000 PM,N/A,GPS,N/A,GPS,""Long: -84.140541, Lat: 33.896252; Heading: 298.6001; Speed: 0; Satellites: N/A; BarometricAltitude: N/A;"""
6/5/2023 8:57:35.000 PM,N/A,NR5G L1,N/A,QC5GNR Searcher Measurement Result,
6/5/2023 8:57:35.000 PM,N/A,NR5G L1,N/A,QC5GNR AFCSNR P,
6/5/2023 8:57:35.000 PM,N/A,NR5G L1,N/A,QC5GNR Uplink stats,
"6/5/2023 8:57:36.000 PM,N/A,GPS,N/A,GPS,""Long: -84.140381, Lat: 33.896179; Heading: 118.6001; Speed: 0; Satellites: N/A; BarometricAltitude: N/A;"""
6/5/2023 8:57:36.000 PM,N/A,NR5G L1,N/A,QC5GNR AFCSNR P,
6/5/2023 8:57:36.000 PM,N/A,N/A,N/A,Technology Decision,
"6/5/2023 8:57:37.000 PM,N/A,GPS,N/A,GPS,""Long: -84.140381, Lat: 33.896179; Heading: N/A; Speed: 0; Satellites: N/A; BarometricAltitude: N/A;"""
6/5/2023 8:57:37.000 PM,N/A,NR5G L1,N/A,QC5GNR Searcher Measurement Result,
6/5/2023 8:57:37.000 PM,N/A,NR5G L1,N/A,QC5GNR AFCSNR P,
6/5/2023 8:57:37.000 PM,N/A,NR5G L1,N/A,QC5GNR SSB and TRS SNR information for pcell,
6/5/2023 8:57:37.000 PM,N/A,NR5G L1,N/A,QC5GNR Uplink stats,
"6/5/2023 8:57:38.000 PM,N/A,GPS,N/A,GPS,""Long: -84.140381, Lat: 33.896179; Heading: N/A; Speed: 0; Satellites: N/A; BarometricAltitude: N/A;"""
6/5/2023 8:57:38.000 PM,N/A,NR5G L1,N/A,QC5GNR AFCSNR P,
6/5/2023 8:57:38.000 PM,N/A,NR5G L1,N/A,QC5GNR Uplink stats,
"6/5/2023 8:57:39.000 PM,N/A,GPS,N/A,GPS,""Long: -84.140381, Lat: 33.896179; Heading: N/A; Speed: 0; Satellites: N/A; BarometricAltitude: N/A;"""
6/5/2023 8:57:39.000 PM,N/A,NR5G L1,N/A,QC5GNR AFCSNR P,
6/5/2023 8:57:39.000 PM,N/A,NR5G L1,N/A,QC5GNR Uplink stats,
6/5/2023 8:57:39.000 PM,N/A,NR5G L1,N/A,QC5GNR RRC Configuration Info for pcell,
6/5/2023 8:57:39.000 PM,N/A,N/A,N/A,Technology Decision,
6/5/2023 8:57:39.338 PM,N/A,N/A,N/A,CM State,
6/5/2023 8:57:39.511 PM,NAS,5GMM,UE → AMF,NR5G De-Registration Request (UE Originating de-registration),
6/5/2023 8:57:39.511 PM,NR-Uu,NR-RRC,UE → gNB,NR5G RRC Setup Request,
6/5/2023 8:57:39.511 PM,N/A,NR5G L1,N/A,QC5GNR Rach Trigger,RACH Reason = (0) CONNECTION_REQUEST
6/5/2023 8:57:39.511 PM,,,Event,NR De-Registration Request,
6/5/2023 8:57:39.511 PM,,,Event,NR RRC Setup Request,
6/5/2023 8:57:39.511 PM,,,Event,NR RACH Attempt,CRNTI:53828; RACH reason:Connection_Request
6/5/2023 8:57:39.512 PM,N/A,NR5G L1,N/A,QC5GNR Rach Attempt,RACH Result = (0) SUCCESS
6/5/2023 8:57:39.512 PM,N/A,NR5G L1,N/A,QC5GNR PRACH Power for All Sampling,
6/5/2023 8:57:39.512 PM,NR-Uu,NR-RRC,gNB → UE,NR5G RRC Setup,
6/5/2023 8:57:39.512 PM,N/A,NR5G L1,N/A,QC5GNR MAC CDRX Config,
6/5/2023 8:57:39.512 PM,N/A,NR5G L1,N/A,QC5GNR RRC Configuration State,
6/5/2023 8:57:39.512 PM,NR-Uu,NR-RRC,UE → gNB,NR5G RRC Setup Complete,
"6/5/2023 8:57:39.512 PM,,,Event,NR RACH Success,""Num Attempt:1; TA value:14; SCS:(1) 30 KHz,(0) 15 KHz,(0) 15 KHz,(0) 15 KHz; CRNTI:55105"""
6/5/2023 8:57:39.512 PM,,,Event,NR RRC Setup Complete,
6/5/2023 8:57:39.512 PM,,,Event,NR Idle To Connected,
6/5/2023 8:57:39.718 PM,N/A,NR5G L1,N/A,QC5GNR RRC Configuration State,
6/5/2023 8:57:39.718 PM,N/A,NR5G L1,N/A,QC5GNR MIB,
6/5/2023 8:57:39.718 PM,N/A,NR5G L1,N/A,QC5GNR RRC Configuration State,
"6/5/2023 8:57:40.000 PM,N/A,GPS,N/A,GPS,""Long: -84.140381, Lat: 33.896179; Heading: N/A; Speed: 0; Satellites: N/A; BarometricAltitude: N/A;"""
6/5/2023 8:57:40.000 PM,N/A,NR5G L1,N/A,QC5GNR Searcher Measurement Result,
6/5/2023 8:57:40.000 PM,N/A,NR5G L1,N/A,QC5GNR BRS Measurement Result for PCell SSB,
6/5/2023 8:57:40.000 PM,N/A,NR5G L1,N/A,QC5GNR Tx Power Control Information for PCell,
6/5/2023 8:57:40.000 PM,N/A,NR5G L1,N/A,QC5GNR PDSCH Information for PCell,
6/5/2023 8:57:40.000 PM,N/A,NR5G L1,N/A,QC5GNR PUSCH Information for PCell,
6/5/2023 8:57:40.000 PM,N/A,NR5G L1,N/A,QC5GNR DCI Count Information for PCell,
6/5/2023 8:57:40.000 PM,N/A,NR5G L1,N/A,QC5GNR Physical & Mac Layer Throughput Information PCell,
6/5/2023 8:57:40.000 PM,N/A,NR5G L1,N/A,QC5GNR DL RLC Throughput Information,
6/5/2023 8:57:40.000 PM,N/A,NR5G L1,N/A,QC5GNR PDCP Throughput Information DL,
6/5/2023 8:57:40.000 PM,N/A,NR5G L1,N/A,QC5GNR UL Physical Throughput Information PCell,
6/5/2023 8:57:40.000 PM,N/A,NR5G L1,N/A,QC5GNR PDCP Throughput Information UL,
6/5/2023 8:57:40.000 PM,N/A,NR5G L1,N/A,QC5GNR UL RLC Throughput Information,
6/5/2023 8:57:40.000 PM,N/A,NR5G L1,N/A,QC5GNR ENDC TxPwr,
6/5/2023 8:57:40.000 PM,N/A,NR5G L1,N/A,QC5GNR AFCSNR P,
6/5/2023 8:57:40.000 PM,N/A,NR5G L1,N/A,QC5GNR SSB and TRS SNR information for pcell,
6/5/2023 8:57:40.000 PM,N/A,NR5G L1,N/A,QC5GNR PDCP DL Statistics,
6/5/2023 8:57:40.000 PM,N/A,NR5G L1,N/A,QC5GNR RLC DL Statistics,
6/5/2023 8:57:40.000 PM,N/A,NR5G L1,N/A,QC5GNR RLC UL Statistics,
6/5/2023 8:57:40.000 PM,N/A,NR5G L1,N/A,QC5GNR Uplink stats,
6/5/2023 8:57:40.000 PM,N/A,N/A,N/A,Technology Decision,
6/5/2023 8:57:40.460 PM,N/A,N/A,N/A,CM State,
6/5/2023 8:57:40.461 PM,N/A,N/A,N/A,CM State,
"6/5/2023 8:57:41.000 PM,N/A,GPS,N/A,GPS,""Long: -84.140381, Lat: 33.896179; Heading: N/A; Speed: 0; Satellites: N/A; BarometricAltitude: N/A;"""
6/5/2023 8:57:41.000 PM,N/A,N/A,N/A,Technology Decision,
6/5/2023 8:57:41.464 PM,N/A,N/A,N/A,CM State,
6/5/2023 8:57:41.466 PM,N/A,N/A,N/A,CM State,
"6/5/2023 8:57:42.000 PM,N/A,GPS,N/A,GPS,""Long: -84.140381, Lat: 33.896179; Heading: N/A; Speed: 0; Satellites: N/A; BarometricAltitude: N/A;"""
6/5/2023 8:57:42.000 PM,N/A,N/A,N/A,Technology Decision,
6/5/2023 8:57:42.456 PM,N/A,N/A,N/A,CM State,
6/5/2023 8:57:42.458 PM,N/A,N/A,N/A,CM State,
